Ozone layer,Solar.R,Wind speed (miles/hour),Temp. in F,Date?
1,307,4.6,76,5/6/14
59,27,11.5,84,5/7/14
11,191,7.4,59,5/9/14
NA,273,8,66,5/11/14
11,186,6.3,67,5/12/14
84,149,10.3,65,5/13/14
8,314,11.5,92,5/14/14
32,212,6.9,67,5/15/14
9,260,14.9,79,5/16/14
20,59,7.4,92,5/17/14
NA,187,13.8,86,5/18/14
44,194,14.9,71,5/19/14
13,NA,15.5,73,5/21/14
4,242,6.9,91,5/23/14
65,322,7.4,61,5/26/14
61,25,6.9,79,5/28/14
64,83,8.6,86,5/30/14
115,254,9.7,85,6/1/14
110,266,8.6,87,6/2/14
168,238,8.6,74,6/3/14
7,220,11.5,97,6/4/14
48,229,13.8,96,6/5/14
NA,252,14.3,72,6/7/14
44,295,18.4,88,6/8/14
NA,92,14.9,74,6/9/14
18,37,9.2,80,6/10/14
78,332,6.3,67,6/11/14
59,323,5.1,87,6/12/14
NA,118,8,86,6/14/14
85,284,7.4,68,6/19/14
28,51,6.3,81,6/20/14
66,120,9.7,76,6/21/14
63,269,6.3,93,6/22/14
14,287,3.4,86,6/23/14
22,47,10.3,77,6/24/14
80,NA,9.7,77,6/30/14
NA,190,7.4,88,7/3/14
18,NA,4.1,76,7/4/14
NA,276,12,80,7/6/14
NA,236,2.3,76,7/9/14
NA,157,15.5,71,7/10/14
97,274,10.9,82,7/12/14
44,148,8,83,7/13/14
79,250,7.4,56,7/14/14
89,250,6.3,64,7/16/14
13,183,12.6,78,7/18/14
NA,274,9.7,81,7/20/14
135,NA,9.7,67,7/21/14
118,223,6.9,82,7/22/14
20,299,6.9,78,7/24/14
NA,14,7.4,76,7/25/14
23,137,12,87,7/26/14
85,285,11.5,57,7/27/14
36,259,5.7,66,7/28/14
108,127,10.3,94,7/29/14
47,127,10.9,82,7/30/14
16,253,7.4,92,8/1/14
19,64,14.9,83,8/5/14
7,207,11.5,59,8/6/14
6,238,6.3,77,8/7/14
82,7,9.2,79,8/8/14
76,248,10.9,71,8/10/14
21,237,11.5,85,8/11/14
73,77,10.3,90,8/12/14
NA,201,20.7,78,8/13/14
10,81,8.6,85,8/15/14
NA,244,9.2,75,8/17/14
35,44,14.9,89,8/18/14
50,13,10.9,81,8/19/14
32,223,9.2,78,8/20/14
73,NA,14.9,61,8/21/14
NA,279,9.7,79,8/22/14
18,92,4,80,8/23/14
97,138,8.6,74,8/27/14
45,139,7.4,76,8/28/14
34,191,9.2,82,8/29/14
NA,95,10.3,93,8/30/14
13,193,14.3,82,9/2/14
NA,275,10.3,90,9/3/14
NA,215,11.5,74,9/5/14
NA,222,8,89,9/6/14
49,71,13.8,65,9/7/14
NA,115,12,77,9/8/14
21,188,10.9,72,9/13/14
21,24,16.6,75,9/14/14
NA,259,10.9,78,9/16/14
14,267,4.6,82,9/17/14
NA,101,5.1,91,9/18/14
39,252,10.3,64,9/19/14
13,322,12,86,9/22/14
36,175,8,76,9/23/14
40,256,13.2,70,9/24/14
NA,230,9.2,79,9/25/14
39,264,10.3,86,9/26/14
41,36,8,69,9/28/14
NA,291,5.7,84,9/29/14
